District IRN,District Name,Building IRN,Building Name,County,Region,Address,"City, State, Zip",Phone,Principal,,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2015,4 Year Grad Rate 2015,Letter Grade of 5 Year Grad Rate 2014,5 Year Grad Rate 2014,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Attendance Rate 2013-2014,Chronic Absenteeism Percent 2015-2016,Watermark
138,Pathway School of Discovery,138,Pathway School of Discovery,Montgomery,Region 10,173 Avondale Dr,"Dayton, OH, 45404-2123",(937) 235-5498,Keith B. Colbert,766,D,F,NC,5.9,D,62.2,F,0,F,-34.8,C,C,0.9,NR,NC,C,-0.1,C,-0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,95.1,95,13.2,NA
139,Alliance Academy of Cincinnati,139,Alliance Academy of Cincinnati,Hamilton,Region 13,1712 Duck Creek Rd,"Cincinnati, OH, 45207-1644",(513) 751-5555,Elizabeth L. King,459,F,F,NC,0,F,47.3,F,0,F,11.1,D,F,-6.5,NR,NC,D,-1.6,F,-4,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.9,94,94,25.3,NA
222,Wildwood Environmental Academy,222,Wildwood Environmental Academy,Lucas,Region 1,1546 Dartford Rd,"Maumee, OH, 43537-1374",(419) 868-9885,Elizabeth A. Lewin,323,D,F,NC,13,D,61.7,F,0,D,40,B,A,4.9,NR,NC,C,0.8,A,3.6,NR,NC,NR,NR,NC,NR,NC,F,6.3,93.7,94.6,94,20.1,NA
236,"Ohio Connections Academy, Inc",236,"Ohio Connections Academy, Inc",Cuyahoga,Region 3,3740 Euclid Ave Ste 101,"Cleveland, OH, 44115-2229",(513) 234-4900,NA,3355,D,F,NC,17.9,D,66.9,F,22.7,B,63.2,D,F,-4.6,NR,NC,C,-0.3,C,-0.3,C,0.2,F,F,71.7,F,64.5,F,13.5,97.4,97.2,97,9.9,NA
296,Summit Academy Community School-Columbus,296,Summit Academy Community School-Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 100,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,47,F,NR,NC,NC,F,44.3,NR,NC,F,0,B,C,-0.7,NR,NC,A,2.4,B,1.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.4,93.8,94,18.4,NA
297,Summit Academy Community School - Dayton,297,Summit Academy Community School - Dayton,Montgomery,Region 10,4128 Cedar Ridge Rd,"Dayton, OH, 45414-3908",(937) 278-4298,Megan E. Fagan,137,F,F,NC,0,F,43.9,F,0,F,16.7,C,D,-1.7,NR,NC,D,-1.8,C,-0.1,C,-0.5,NR,NR,NC,NR,NC,NR,NC,90.7,90.4,90,31,NA
298,Summit Academy Secondary - Akron,298,Summit Academy Secondary - Akron,Summit,Region 8,464 S Hawkins Ave,"Akron, OH, 44320-1228",(330) 434-2343,Ralph E. Grant,64,F,F,NC,14.3,F,41.4,NR,NC,NR,NC,D,F,-2.6,NR,NC,F,-2.1,C,-0.5,NR,NC,F,F,70,D,80,F,0,91.1,89.8,92,33.3,NA
300,Summit Academy Secondary - Canton,300,Summit Academy Secondary - Canton,Stark,Region 9,2400 Cleveland Ave NW,"Canton, OH, 44709-3613",(330) 453-8547,Lisa M. Cook,106,F,F,NC,0,F,44.4,NR,NC,NR,NC,C,D,-1.1,NR,NC,D,-1.3,C,-0.6,D,-1,F,F,75,F,73.3,F,0,92.9,91.9,93,27.8,NA
301,Summit Academy Secondary - Lorain,301,Summit Academy Secondary - Lorain,Lorain,Region 2,1051 E St,"Lorain, OH, 44052-2134",(440) 288-0448,NA,79,F,F,NC,16.7,F,40.1,NR,NC,NR,NC,C,C,0.7,NR,NC,C,0.9,C,0.9,NR,NC,F,F,62.5,F,76.5,F,0,84.7,83.8,82,54.1,NA
302,Summit Academy Community School-Parma,302,Summit Academy Community School-Parma,Cuyahoga,Region 3,5868 Stumph Rd,"Parma, OH, 44130-1736",(440) 888-5407,Charlotte A. Ray,193,F,F,NC,3.4,F,48.4,F,0,F,-9.5,B,B,1.3,NR,NC,B,1.3,C,1,NR,NC,F,F,62.5,F,64.7,F,0,91.1,91,90,33.2,NA
303,Summit Academy Secondary - Youngstown,303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,2800 Shady Run Rd,"Youngstown, OH, 44502-2770",(234) 228-8235,Thomas F. Harrison,249,F,F,NC,0,F,40.2,F,6.6,NR,NC,D,F,-3.5,NR,NC,F,-3.3,D,-1.6,D,-1.6,F,F,43.9,F,47.5,F,1.2,89.5,88.2,88,41.3,NA
304,Summit Academy Community School-Toledo,304,Summit Academy Community School-Toledo,Lucas,Region 1,1853 South Ave,"Toledo, OH, 43609-2086",(419) 385-5730,Julie A. Kadri,107,F,F,NC,0,F,41.3,F,0.7,F,4.2,D,F,-2,NR,NC,D,-1.2,F,-2.1,D,-1.7,NR,NR,NC,NR,NC,NR,NC,91.9,91.1,93,31.5,NA
305,Summit Academy Community School-Warren,305,Summit Academy Community School-Warren,Trumbull,Region 5,2106 Arbor Ave SE,"Warren, OH, 44484-5225",(330) 369-4233,Allison R. Glass,106,F,F,NC,0,F,47.6,F,14.1,F,2.9,A,A,3.7,NR,NC,A,3.1,A,2.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.7,89.1,92,31.3,NA
306,Summit Academy Community School - Cincinnati,306,Summit Academy Community School - Cincinnati,Hamilton,Region 13,1660 Sternblock Ln,"Cincinnati, OH, 45237-3805",(513) 321-0561,Dale E. Leever,125,F,F,NC,0,F,42.8,F,1.6,F,5.6,C,C,0.3,NR,NC,C,-0.1,D,-1,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.9,90.5,90,30.2,NA
311,Bridges Community Academy,311,Bridges Community Academy,Franklin,Region 11,190 St Francis Ave,"Tiffin, OH, 44883-3475",(419) 455-9295,Catherine M. Smith,125,F,F,NC,0,D,51.5,F,0,NR,NC,B,C,0.4,NR,NC,NR,NC,B,1,B,1.1,D,D,82.4,C,85.7,D,22.6,95.2,93.7,94,12,NA
316,Constellation Schools: Westpark Community Middle,316,Constellation Schools: Westpark Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 251-7200,Mindy D. Kidd,204,D,F,NC,0,D,60.5,F,0,NR,NC,B,C,0.6,NR,NC,B,1.3,C,0.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.1,94,94,13.1,NA
43786,Cleveland Municipal City,318,Menlo Park Academy,Cuyahoga,Region 3,14440 Triskett Rd,"Cleveland, OH, 44111-2263",(440) 925-6365,NA,367,A,A,Not Met,95,A,92.3,A,100,NR,NC,C,C,-0.5,C,-0.5,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.6,95.9,96,6.8,NA
319,Constellation Schools: Madison Community Elementary,319,Constellation Schools: Madison Community Elementary,Cuyahoga,Region 3,2015 W 95th St,"Cleveland, OH, 44102-3727",(216) 651-5212,Louis A. Marconi,316,F,F,NC,0,F,44.9,F,0.2,F,17.7,D,F,-6.3,NR,NC,C,-0.8,F,-4.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.6,92.7,93,22.2,NA
320,Constellation Schools: Lorain Community Middle,320,Constellation Schools: Lorain Community Middle,Lorain,Region 2,5730 Broadview Rd,"Parma, OH, 44134-1602",(440) 242-2023,Melisa R. Shady,129,F,F,NC,0,D,54.7,F,0,NR,NC,F,F,-3.8,NR,NC,F,-2.6,F,-3.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.3,93.2,94,20.8,NA
321,Constellation Schools: Old Brooklyn Community Middle,321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 351-0280,Cherie Kaiser,244,D,F,NC,16.7,D,64.7,F,0,NR,NC,D,F,-4.5,NR,NC,D,-1.1,F,-2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,95.6,95,13.6,NA
338,Horizon Science Academy Toledo,338,Horizon Science Academy Toledo,Lucas,Region 1,2600 W Sylvania Ave,"Toledo, OH, 43613-4300",(419) 474-3350,AYDIN KARA,550,F,F,NC,17.9,F,42.4,F,0,F,-34.2,D,F,-4.5,NR,NC,B,1.3,D,-1.6,F,-2.9,F,F,66.7,F,78.8,F,10,92.3,91.7,93,29.4,NA
396,Mansfield Elective Academy,396,Mansfield Elective Academy,Richland,Region 7,215 N Trimble Rd,"Mansfield, OH, 44906-2630",(567) 247-4475,David W. Shirley,31,F,NR,NC,NC,F,35.1,NR,NC,NR,NC,C,C,0.4,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,90,89.9,83,39.1,NA
417,Buckeye On-Line School for Success,417,Buckeye On-Line School for Success,Columbiana,Region 9,119 E Fifth St,"East Liverpool, OH, 43920-3030",(330) 385-1987,NA,902,F,F,NC,7.1,D,53.4,F,1.9,F,23.1,D,F,-3.7,NR,NC,D,-1.1,F,-2.9,F,-2.6,F,F,52.5,F,57.7,F,4.4,88.6,86.4,85,33.2,NA
420,Columbus Bilingual Academy,420,Columbus Bilingual Academy,Franklin,Region 11,35 Midland Ave,"Columbus, OH, 43223-1064",(330) 515-0572,Jermaine Q. Kennedy,179,F,F,NC,0,F,45.5,F,5.8,F,-11.1,B,A,2.2,NR,NC,NR,NC,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.9,94.2,93,13.3,NA
509,Whitehall Preparatory and Fitness Academy,509,Whitehall Preparatory and Fitness Academy,Franklin,Region 11,3474 E Livingston Ave,"Columbus, OH, 43227-2279",(614) 324-4585,Donnell Q. Drake,274,F,F,NC,0,F,44.3,F,0,NR,NC,D,F,-3.9,NR,NC,C,0.8,D,-1.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.5,94.9,96,12.7,NA
510,Springfield Preparatory and Fitness Academy,510,Springfield Preparatory and Fitness Academy,Clark,Region 10,1615 Selma Rd,"Springfield, OH, 45505-4245",(937) 323-6250,Darren T. Fansler,171,F,F,NC,6.3,D,54.9,F,0,F,-80,F,F,-7.6,NR,NC,F,-7.5,F,-2.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.3,93.8,93,20.6,NA
511,Northland Preparatory and Fitness Academy,511,Northland Preparatory and Fitness Academy,Franklin,Region 11,1875 Morse Rd,"Columbus, OH, 43229-6603",(614) 318-0600,Amanda R. Voss,308,F,F,NC,0,F,47.7,F,0,NR,NC,D,F,-3.2,NR,NC,C,0.4,D,-1.7,F,-2.2,NR,NR,NC,NR,NC,NR,NC,94.5,96.1,96,14.8,NA
534,Constellation Schools: Puritas Community Middle,534,Constellation Schools: Puritas Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 688-0680,Margaret M. Colwell,134,D,F,NC,27.3,D,66.3,F,48.2,NR,NC,A,A,8.6,NR,NC,NR,NC,A,3.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.4,94.6,95,16.8,NA
541,Constellation Schools: Outreach Academy for Students with Di,541,Constellation Schools: Outreach Academy for Students with Di,Cuyahoga,Region 3,3727 Bosworth Rd,"Cleveland, OH, 44111-6037",(216) 688-1900,Mary Wideman,27,F,NR,NC,NC,F,36.6,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94,93.7,95,25,NA
543,Pinnacle Academy,543,Pinnacle Academy,Cuyahoga,Region 3,860 E 222nd St,"Euclid, OH, 44123-3317",(216) 731-0127,Jennifer M. Littlefield,738,F,F,NC,0,D,51.8,F,1.2,F,1.2,F,F,-6.3,NR,NC,F,-2.1,F,-3.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,94.3,94,13,NA
546,Winterfield Venture Academy,546,Winterfield Venture Academy,Lucas,Region 1,305 Wenz Rd,"Toledo, OH, 43615-6244",(419) 531-3285,Nathan W. Preston,530,F,F,NC,0,F,49.5,F,0,F,-2.3,C,C,-0.2,NR,NC,B,1.3,D,-1.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.6,94.7,95,15.4,NA
553,"Columbus Humanities, Arts and Technology Academy",553,"Columbus Humanities, Arts and Technology Academy",Franklin,Region 11,1333 Morse Rd,"Columbus, OH, 43229-6322",(614) 261-1200,Alexander C. Adams,373,F,F,NC,0,D,51.3,F,0,F,9.4,D,F,-2.3,NR,NC,NR,NC,D,-1.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,95,94.8,93,12.5,NA
556,A+ Arts Academy,556,A+ Arts Academy,Franklin,Region 11,1395 Fair Ave,"Columbus, OH, 43205-1543",(614) 338-0767,David B. Fant,677,F,F,NC,0,D,51.1,F,0,F,-64.5,D,D,-2,NR,NC,D,-1.1,F,-3,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.7,91.9,91,31.3,NA
557,Columbus Arts & Technology Academy,557,Columbus Arts & Technology Academy,Franklin,Region 11,2255 Kimberly Pkwy E,"Columbus, OH, 43232-7210",(614) 577-0900,Derrick R. Shelton,537,D,F,NC,0,D,63.9,F,0,NR,NC,C,C,-0.5,NR,NC,NR,NC,C,-0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.9,93.6,93,15.9,NA
558,Columbus Preparatory Academy,558,Columbus Preparatory Academy,Franklin,Region 11,3330 Chippewa St,"Columbus, OH, 43204-1653",(614) 275-3600,NA,673,A,A,NC,100,A,96.6,A,100,NR,NC,F,F,-3.4,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.7,96.9,96,2.2,NA
559,Orion Academy,559,Orion Academy,Hamilton,Region 13,1798 Queen City Ave,"Cincinnati, OH, 45214-1427",(513) 251-6000,Kendell L. Dorsey,521,F,F,NC,0,F,47,F,0,F,-4.2,D,F,-6.1,NR,NC,C,0.2,F,-2.4,F,-5.8,NR,NR,NC,NR,NC,NR,NC,92.4,92.2,95,27.2,NA
560,Apex Academy,560,Apex Academy,Cuyahoga,Region 3,16005 Terrace Rd,"Cleveland, OH, 44112-2001",(216) 451-1725,MICHAEL BEAN,613,F,F,NC,0,F,46.2,F,0,F,-6.4,F,F,-10.2,NR,NC,F,-2.4,F,-5.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.4,94.6,93,18.1,NA
564,"Virtual Schoolhouse, Inc.",564,"Virtual Schoolhouse, Inc.",Cuyahoga,Region 3,16995 Deer Path Dr,"Strongsville, OH, 44136-6210",(216) 541-2048,Cindy L. Johnson,345,F,F,NC,0,F,41.2,F,7.4,F,3.2,C,D,-1.9,NR,NC,C,0.4,D,-1.3,F,-2.4,F,F,20.3,F,32.4,F,0,87.8,90.2,90,42.6,NA
575,Hope Academy Northwest Campus,575,Hope Academy Northwest Campus,Cuyahoga,Region 3,1441 W 116th St,"Cleveland, OH, 44102-2301",(216) 226-6800,Julio S. Alarcon,247,F,F,NC,0,F,48.6,F,8.3,F,15.4,A,A,4.3,NR,NC,A,2.1,A,3.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.3,90.9,91,38.3,NA
576,King Academy Community School,576,King Academy Community School,Hamilton,Region 13,224 W Liberty St,"Cincinnati, OH, 45202-6990",(513) 421-7519,NA,145,D,F,NC,45.5,D,67.1,B,89.9,NR,NC,A,A,4.5,NR,NC,NR,NC,A,2.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.9,96.8,99,8.1,NA
577,Emerson Academy,577,Emerson Academy,Montgomery,Region 10,501 Hickory St,"Dayton, OH, 45410-1232",(937) 223-2889,Alison C. Foreman,693,D,F,NC,0,D,56.1,F,1.3,F,-78.3,B,C,0.7,NR,NC,B,1.1,C,0.1,C,-0.8,NR,NR,NC,NR,NC,NR,NC,93.9,0,93,19.7,NA
608,Summit Academy Transition High School-Cincinnati,608,Summit Academy Transition High School-Cincinnati,Hamilton,Region 13,5800 Salvia Ave,"Cincinnati, OH, 45224-3029",(513) 541-4000,Stephen F. Geresy,81,F,F,NC,18.2,F,34.4,NR,NC,NR,NC,D,F,-2.4,NR,NC,D,-1.8,D,-1.3,NR,NC,F,F,73.7,F,60,F,0,89,92.7,92,37.8,NA
609,Summit Academy Middle School - Lorain,609,Summit Academy Middle School - Lorain,Lorain,Region 2,346 Illinois Ave,"Lorain, OH, 44052-2106",(440) 288-0448,Diane K. Solomon,91,F,F,NC,0,F,34.2,F,0,NR,NC,C,C,-0.8,NR,NC,D,-1,C,-0.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.3,89.4,87,31.4,NA
610,Summit Academy Middle School - Columbus,610,Summit Academy Middle School - Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 200,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,101,F,F,NC,0,F,37.5,F,2.1,NR,NC,A,B,1.2,NR,NC,A,3.8,A,2.6,A,2.8,NR,NR,NC,NR,NC,NR,NC,93.5,93.2,93,20.3,NA
613,Heir Force Community School,613,Heir Force Community School,Allen,Region 6,150 W Grand Ave,"Lima, OH, 45801-4006",(419) 228-9241,Darwin O. Lofton,298,D,F,NC,18.8,D,61,F,0,F,-14.1,D,D,-1.7,NR,NC,NR,NC,D,-1.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.3,95.2,95,17.5,NA
614,Summit Academy Transition High School-Columbus,614,Summit Academy Transition High School-Columbus,Franklin,Region 11,2521 Fairwood Ave,"Columbus, OH, 43207-2712",(614) 880-0714,Trina C. Holloway - Moore,201,F,F,NC,0,F,36.6,F,2.3,NR,NC,A,B,1.9,NR,NC,A,2.4,A,2.8,B,1.3,F,F,28.3,F,33.3,F,0,94.1,91.1,92,24.1,NA
616,Summit Academy Alternative LearnersWarren Middle & Secondary,616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,Region 5,1461 Moncrest Dr NW,"Warren, OH, 44485-1928",(330) 399-1692,Erin A. Bradley,105,F,F,NC,12.5,F,40.6,F,0,NR,NC,F,F,-4.1,NR,NC,F,-3.9,F,-2.1,NR,NC,F,F,50,NR,NC,F,4.5,88.5,88.6,86,45.9,NA
621,Summit Academy Transition High School Dayton,621,Summit Academy Transition High School Dayton,Montgomery,Region 10,251 Erdiel Dr,"Dayton, OH, 45415-3632",(937) 223-3154,Gary L. Miller,130,F,F,NC,0,F,37.2,NR,NC,NR,NC,C,C,-0.7,NR,NC,C,-0.4,C,0.8,F,-2.2,F,F,68.8,D,81,F,0,89.5,89.6,92,38.7,NA
623,Summit Academy-Youngstown,623,Summit Academy-Youngstown,Mahoning,Region 5,144 N Schenley Ave,"Youngstown, OH, 44509-2041",(330) 259-0421,Michael J. Majzun,208,F,F,NC,0,F,41.6,F,0.9,F,8.2,F,F,-4.6,NR,NC,F,-3.8,F,-3.4,F,-4.6,NR,NR,NC,NR,NC,NR,NC,91.5,91.3,91,37.6,NA
629,Summit Academy Community School - Painesville,629,Summit Academy Community School - Painesville,Lake,Region 4,268 N State St,"Painesville, OH, 44077-4009",(440) 358-0877,Frank B. Cheraso,70,F,F,NC,0,F,49.4,F,3.4,D,33.3,C,C,-0.1,NR,NC,C,-0.1,C,0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.6,93.7,93,25,NA
633,Summit Academy Toledo Learning Center,633,Summit Academy Toledo Learning Center,Lucas,Region 1,5115 Glendale Ave Ste N,"Toledo, OH, 43614-1801",(419) 476-7859,Deborah A. Piotrowski,185,F,F,NC,11.8,F,45.1,F,0,F,-10,A,A,2.7,NR,NC,A,3.2,A,2.6,NR,NC,C,F,73.7,A,100,F,0,89.5,89.1,91,39.2,NA
634,Summit Academy Secondary School - Middletown,634,Summit Academy Secondary School - Middletown,Butler,Region 13,7 S Marshall Rd,"Middletown, OH, 45044-5375",(513) 420-9767,Beth A. Varley,86,F,F,NC,5.9,F,47.7,F,0,NR,NC,C,C,-0.1,NR,NC,C,-0.6,D,-1.2,NR,NC,NR,NR,NC,NR,NC,F,0,90.3,89.9,91,34.9,NA
677,New Day Academy Boarding & Day School,677,New Day Academy Boarding & Day School,Cuyahoga,Region 3,8566 Barbara Dr,"Mentor, OH, 44060-1917",(216) 797-1602,NA,161,F,F,NC,16.7,F,33.6,F,0,NR,NC,C,C,-0.4,NR,NC,NR,NC,C,0.2,NR,NC,F,F,60.7,D,81,F,0,89.2,90.8,90,38,NA
679,Oakstone Community School,679,Oakstone Community School,Franklin,Region 11,5747 Cleveland Ave,"Columbus, OH, 43231-2831",(614) 458-1085,Erik L. Wilson,276,D,F,NC,25,D,68.2,F,0,NR,NC,F,F,-3.5,NR,NC,F,-3.5,NR,NC,NR,NC,F,F,22.7,F,70,D,18.4,94.8,94.6,94,17.2,NA
725,Zenith Academy,725,Zenith Academy,Franklin,Region 11,8210 Havens Rd,"Blacklick, OH, 43004-8630",(614) 419-6753,Alex J. Stansbery,403,F,F,NC,0,F,41.8,F,0,F,-146,F,F,-7.5,NR,NC,NR,NC,F,-3.5,F,-6.7,F,F,33.3,NR,NC,F,0,100,100,10,0,NA
736,HBCU Preparatory School 1,736,HBCU Preparatory School 1,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,139,D,F,NC,18.2,D,59.8,F,0,F,-132,D,F,-2.6,NR,NC,NR,NC,C,0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,88.2,95,21.1,NA
738,HBCU Preparatory School 2,738,HBCU Preparatory School 2,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,111,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.3,89.5,95,15.9,NA
770,"Maritime Academy of Toledo, The",770,"Maritime Academy of Toledo, The",Lucas,Region 1,803 Water St,"Toledo, OH, 43604-1831",(419) 244-9999,Aaron M. Lusk,259,F,F,NC,0,F,46.7,F,0,NR,NC,D,F,-2.1,NR,NC,B,1.1,F,-2.3,C,-0.6,F,F,61.5,F,75,F,0,0,93.4,92,NC,NA
123257,North Central Ohio ESC,779,Educational Academy for Boys & Girls,Seneca,Region 1,1500 W 3rd Ave,"Columbus, OH, 43212-2843",(614) 294-3020,Jameica H. Shoultz,122,F,F,NC,0,F,45.6,F,0,NR,NC,C,D,-1.7,NR,NC,NR,NC,C,0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,94,92.6,93,18.9,NA
123257,North Central Ohio ESC,780,Midnimo Cross Cultural Community School,Seneca,Region 1,1500 W 3rd Ave Ste 125,"Columbus, OH, 43212-2883",(614) 261-7480,Amy L. Shrock,99,F,F,NC,0,F,48.6,F,0,NR,NC,A,A,3.4,NR,NC,NR,NC,A,2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94,95.3,94,16.7,NA
781,Cincinnati Speech & Reading Intervention Center,781,Cincinnati Speech & Reading Intervention Center,Hamilton,Region 13,1812 Central Pkwy,"Cincinnati, OH, 45214-2304",NA,Genesis N. Henderson,267,F,F,NC,0,F,45.9,F,19.2,F,24.1,F,F,-3.9,NR,NC,F,-4.5,F,-4.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.7,91.9,93,37.5,NA
804,Horizon Science Academy-Cincinnati,804,Horizon Science Academy-Cincinnati,Hamilton,Region 13,1055 Laidlaw Ave,"Cincinnati, OH, 45237-5005",(513) 242-0099,Ergun Sevilmis,343,F,F,NC,0,F,40.6,F,1.9,NR,NC,F,F,-4.7,NR,NC,NR,NC,F,-3.1,NR,NC,F,F,46.7,F,78.6,F,7,89.8,89.9,90,37.8,NA
808,Horizon Science Academy-Dayton,808,Horizon Science Academy-Dayton,Montgomery,Region 10,4751 sue ann blvd,"Dayton, OH, 45415",(937) 277-1177,Kellie K. Berlean,167,F,F,NC,0,F,46.5,F,0,F,5.7,B,C,0.5,NR,NC,C,-0.3,B,1.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.4,92.1,92,29.9,NA
825,Horizon Science Academy-Springfield,825,Horizon Science Academy-Springfield,Lucas,Region 1,630 S Reynolds Rd,"Toledo, OH, 43615-6314",(419) 535-0524,Erin A. Schreiner,360,F,F,NC,0,D,50.2,F,0,F,-16.2,B,A,4.4,NR,NC,C,-0.2,A,3.3,A,4.1,NR,NR,NC,NR,NC,NR,NC,92.5,92,92,28.4,NA
