District IRN,District Name,Building IRN,Building Name,County,Region,Address,"City, State, Zip",Phone,Principal,,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2015,4 Year Grad Rate 2015,Letter Grade of 5 Year Grad Rate 2014,5 Year Grad Rate 2014,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Attendance Rate 2013-2014,Chronic Absenteeism Percent 2015-2016,Watermark
12105,Southside Academy,12105,Southside Academy,Mahoning,Region 5,1400 Oak Hill Ave,"Youngstown, OH, 44507-1018",(330) 744-5562,Stephanie A. Groscost,150,F,F,NC,0,F,41.2,F,3.6,F,8.3,A,A,3.9,NR,NC,B,1.6,A,3.3,A,4.3,NR,NR,NC,NR,NC,NR,NC,90.8,89.2,89,35.3,NA
50526,Tri-County ESC,12501,Beacon Hill Academy,Wayne,Region 9,PO Box 285,"Mount Eaton, OH, 44659-0285",(330) 359-5600,Bradley A. Herman,74,D,F,NC,33.3,D,67.4,C,72.6,NR,NC,F,F,-2.8,NR,NC,NR,NC,NR,NC,NR,NC,F,F,9.1,NR,NC,F,0,97.4,97.4,97,1.4,NA
12513,Madisonville SMART Elementary,12513,Madisonville SMART Elementary,Hamilton,Region 13,4324 Homer Ave,"Cincinnati, OH, 45227-2943",(513) 241-1101,Genesis N. Henderson,236,F,F,NC,0,F,42,F,0,F,0,F,F,-8.2,NR,NC,NR,NC,F,-4,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,94.2,93,12.7,NA
12536,Newbridge Math & Reading Preparatory Academy,12536,Newbridge Math & Reading Preparatory Academy,Franklin,Region 11,3850 Sullivant Ave,"Columbus, OH, 43228-4327",(614) 279-6000,Lynn G. Hursey,182,F,F,NC,0,F,37.8,F,0,F,-4.6,D,F,-3.3,NR,NC,NR,NC,D,-2,F,-3.5,NR,NR,NC,NR,NC,NR,NC,93.5,95.9,95,15.4,NA
12541,University of Cleveland Preparatory School,12541,University of Cleveland Preparatory School,Cuyahoga,Region 3,1906 E 40th St,"Cleveland, OH, 44103-3557",(216) 361-9720,Kenan J. Bishop,368,F,F,NC,0,F,46.4,F,0,F,4.3,D,F,-2.1,NR,NC,NR,NC,C,0.3,F,-2.2,NR,NR,NC,NR,NC,NR,NC,89.8,90,90,43.1,NA
50401,Warren County ESC,12545,Imagine Woodbury Academy,Warren,Region 13,100 E Woodbury Dr,"Dayton, OH, 45415-2841",(937) 277-1710,Megan S. Kalb,125,F,F,NC,0,F,38.5,F,5,F,-22.2,A,A,3.4,NR,NC,B,1.6,A,3.2,A,3.7,NR,NR,NC,NR,NC,NR,NC,92.5,92.8,94,24.5,NA
12556,Pearl Academy,12556,Pearl Academy,Cuyahoga,Region 3,4850 Pearl Rd,"Cleveland, OH, 44109-5135",(216) 741-2991,Michael F. Jaissle,217,F,F,NC,0,F,46.5,F,13.6,D,27.7,A,A,6.9,NR,NC,NR,NC,A,4.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93,88.3,90,22.2,NA
12558,Global Village Academy,12558,Global Village Academy,Cuyahoga,Region 3,5720 State Rd,"Parma, OH, 44134-2564",(216) 767-5956,Anna P. Holowatyj,153,C,F,NC,45.5,C,78.7,F,50,B,66.7,D,D,-1,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.3,95.6,94,6.9,NA
12626,OAK Leadership Institute,12626,OAK Leadership Institute,Cuyahoga,Region 3,8610 Hough Ave,"Cleveland, OH, 44106-1566",(216) 229-7178,NA,89,F,F,NC,0,F,38.6,F,0,F,24.1,D,D,-1.2,NR,NC,NR,NC,F,-2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.6,90.8,93,25.3,NA
12627,STEAM Academy of Akron,12627,STEAM Academy of Akron,Summit,Region 8,1350 Virginia Ave,"Akron, OH, 44306-3603",(330) 773-1100,Nova D. O'Callaghan,134,F,F,NC,0,F,49.9,F,0,F,5.9,D,F,-2.1,NR,NC,NR,NC,C,0,F,-2.7,NR,NR,NC,NR,NC,NR,NC,91.2,91.1,91,27.3,NA
12628,Imagine Integrity Academy,12628,Imagine Integrity Academy,Franklin,Region 11,1565 Integrity Dr E,"Columbus, OH, 43209-2707",(614) 464-1500,Megan S. Kalb,81,F,F,NC,0,F,47,NR,NC,D,27.6,C,C,0.8,NR,NC,NR,NC,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,89.9,90.3,90,37.7,NA
12629,Great Expectations Elementary School,12629,Great Expectations Elementary School,Lucas,Region 1,20 Arco Dr,"Toledo, OH, 43607-2901",(419) 490-6252,Anthony Hubbard,159,F,F,NC,0,F,48.4,F,1.7,F,-30.8,C,C,0.2,NR,NC,NR,NC,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.6,92.4,92,22.2,NA
12631,Impact Academy Cincinnati,12631,Impact Academy Cincinnati,Hamilton,Region 13,3060 Durrell Ave,"Cincinnati, OH, 45207-1716",NA,Genesis N. Henderson,127,F,F,NC,0,F,45.9,F,6.9,F,-76.2,A,A,2.4,NR,NC,NR,NC,B,1.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.8,91.1,90,36.5,NA
12644,STEAM Academy of Warren,12644,STEAM Academy of Warren,Trumbull,Region 5,261 Elm Rd NE,"Warren, OH, 44483-5003",(330) 394-3200,Jonathan A. Natko,230,F,F,NC,0,F,42.6,F,0,F,-2.2,F,F,-7.9,NR,NC,NR,NC,F,-5.5,F,-6.1,NR,NR,NC,NR,NC,NR,NC,92.2,92.9,91,28.8,NA
12668,Garfield Academy,12668,Garfield Academy,Stark,Region 9,1379 Garfield Ave SW,"Canton, OH, 44706-5200",(330) 454-3128,Benjamin M. Effinger,220,F,F,NC,0,F,33.8,F,0,F,3.2,B,B,1.1,NR,NC,C,0.9,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.8,91.4,91,33.2,NA
12671,Constellation Schools: Eastside Arts Academy,12671,Constellation Schools: Eastside Arts Academy,Cuyahoga,Region 3,6700 Lansing Ave,"Cleveland, OH, 44105-3756",(216) 441-9830,Katherine A. Rybak,135,F,F,NC,0,F,43.6,F,0,F,11.5,C,D,-2,NR,NC,C,-0.7,C,0.2,F,-2.6,NR,NR,NC,NR,NC,NR,NC,92.3,92.3,91,30.2,NA
12684,Broadway Academy,12684,Broadway Academy,Cuyahoga,Region 3,3398 E 55th St,"Cleveland, OH, 44127-1691",(216) 271-7747,Kevin P. James,322,F,F,NC,0,F,37.2,F,6.2,F,16.3,A,A,5.2,NR,NC,A,3.4,A,3.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,88.1,86.1,87,52.8,NA
43786,Cleveland Municipal City,12852,Citizens Academy East,Cuyahoga,Region 3,12523 Woodside Ave,"Cleveland, OH, 44108-2422",NA,Gjergj G. Haxhiu,378,D,F,NC,12.5,D,65.9,F,0,F,-10,D,F,-4.3,NR,NC,D,-1.8,F,-2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.9,94.7,94,17.5,NA
43844,Dayton City,12924,DECA PREP,Montgomery,Region 10,200 Homewood Ave,"Dayton, OH, 45405-4328",(937) 610-0110,Megan M. McLemore,546,D,F,NC,9.1,D,56.8,F,0,F,-30.9,D,F,-5.9,NR,NC,NR,NC,D,-1.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.6,95.4,96,4.8,NA
12951,Columbus Collegiate Academy - West,12951,Columbus Collegiate Academy - West,Franklin,Region 11,300 Dana Ave,"Columbus, OH, 43223-1310",(614) 545-9570,Nathan G. Parker,218,D,F,NC,0,D,56.4,F,0,NR,NC,B,B,1.2,NR,NC,C,-0.7,A,2.8,F,-2.8,NR,NR,NC,NR,NC,NR,NC,91.4,91.9,93,29.6,NA
13030,Graham Primary School,13030,Graham Primary School,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3167",(614) 253-4001,Gregory C. Brown,218,D,F,NC,0,D,55.2,F,3.2,F,-100,D,F,-3,NR,NC,NR,NC,C,0.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.9,93.6,93,17.5,NA
43786,Cleveland Municipal City,13034,Village Preparatory School:: Woodland Hills Campus,Cuyahoga,Region 3,9201 Crane Ave,"Cleveland, OH, 44105-1627",(216) 298-1164,Christopher J. O'Brien,391,F,F,NC,0,D,53.7,F,45.3,F,23.4,B,C,0.6,NR,NC,A,2.2,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.5,94.2,93,22.8,NA
13082,The Haley School,13082,The Haley School,Cuyahoga,Region 3,4901 Galaxy Pkwy Ste A,"Warrensville Heights, OH, 44128-5948",(216) 591-9190,NA,194,F,F,NC,0,D,50.2,F,0,D,34.4,F,F,-4.5,NR,NC,NR,NC,F,-3.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.8,91.3,94,21.4,NA
13132,Lake Erie College Preparatory School,13132,Lake Erie College Preparatory School,Cuyahoga,Region 3,14405 Saint Clair Ave,"Cleveland, OH, 44110-3433",(216) 453-4556,Samuel A. Lockhart Jr,290,F,F,NC,0,F,38.5,F,0,D,32.6,D,F,-4.7,NR,NC,B,1.3,F,-2.3,F,-4.3,NR,NR,NC,NR,NC,NR,NC,90.1,90,89,38,NA
13146,STEAM Academy of Dayton,13146,STEAM Academy of Dayton,Montgomery,Region 10,545 Odlin Ave,"Dayton, OH, 45405-2743",(937) 262-7063,Debra A. Johnson,210,F,F,NC,0,F,39.2,F,0,F,-92.9,D,F,-3,NR,NC,B,1.4,D,-1.3,F,-2.3,NR,NR,NC,NR,NC,NR,NC,90.4,89.7,91,33,NA
13147,STEAM Academy of Warrensville Heights,13147,STEAM Academy of Warrensville Heights,Cuyahoga,Region 3,4700 Richmond Rd Ste 3000,"Warrensville Heights, OH, 44128-5984",(216) 595-2866,Gary D. Lane,168,F,F,NC,0,F,47.2,F,0,F,14.3,B,C,0.3,NR,NC,NR,NC,B,1.1,D,-1.4,NR,NR,NC,NR,NC,NR,NC,94.3,94,92,15.1,NA
43786,Cleveland Municipal City,13148,Stepstone Academy,Cuyahoga,Region 3,2121 E 32nd St,"Cleveland, OH, 44115-2747",NA,NA,295,F,F,NC,0,F,43,F,0,F,0,F,F,-4.4,NR,NC,NR,NC,F,-2.4,F,-5.3,NR,NR,NC,NR,NC,NR,NC,93.6,92.2,0,23.4,NA
13170,Hope Academy for Autism,13170,Hope Academy for Autism,Trumbull,Region 5,1628 Niles Rd SE,"Warren, OH, 44484-5111",(330) 469-9501,NA,57,F,NR,NC,NC,F,47.5,NR,NC,F,0,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,89.7,87.5,87,34.7,NA
13173,Imagine Hill Avenue,13173,Imagine Hill Avenue,Lucas,Region 1,6145 Hill Ave,"Toledo, OH, 43615-5600",(419) 867-8167,Sarah A. Carstensen,191,D,F,NC,12.5,D,56.3,F,45.6,F,-78.6,D,D,-1.5,NR,NC,NR,NC,F,-2.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.1,93.9,93,23.1,NA
13175,SunBridge Schools,13175,SunBridge Schools,Lucas,Region 1,2105 N McCord Rd,"Toledo, OH, 43615-3032",(419) 725-5437,NA,285,F,F,NC,0,F,43.1,F,0,F,-75.8,B,C,0.1,NR,NC,A,2.1,C,0.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.7,90.3,91,32.7,NA
123257,North Central Ohio ESC,13195,Academy of Educational Excellence,Seneca,Region 1,728 Parkside Blvd,"Toledo, OH, 43607",NA,Israel Irizarry,71,F,F,NC,0,F,38.3,F,0,F,-113,B,B,1.3,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.4,93.9,93,28.6,NA
13198,Brookwood Academy,13198,Brookwood Academy,Franklin,Region 11,2685 E Livingston Ave,"Columbus, OH, 43209-2961",(614) 231-1199,NA,107,F,F,NC,0,F,34.1,NR,NC,NR,NC,D,F,-2.6,NR,NC,F,-2.6,D,-1.4,NR,NC,F,F,66.7,D,80,F,0,83.7,81.9,85,54.3,NA
13199,Nexus Academy of Cleveland,13199,Nexus Academy of Cleveland,Cuyahoga,Region 3,3615 Superior Ave E,"Cleveland, OH, 44114-4138",NA,NA,176,D,F,NC,25,D,53.5,F,0,NR,NC,C,C,-0.9,NR,NC,NR,NC,C,0.5,C,-0.2,F,F,52.6,F,70,F,1.7,87.6,87,82,39.1,NA
13200,Nexus Academy of Toledo,13200,Nexus Academy of Toledo,Lucas,Region 1,600 Jefferson Ave,"Toledo, OH, 43604-1071",(419) 244-8875,NA,121,D,F,NC,25,D,55.9,NR,NC,NR,NC,C,C,-0.2,NR,NC,NR,NC,NR,NC,C,-0.4,F,F,40.7,F,41.7,F,0,91.9,90.9,86,33.3,NA
13201,Nexus Academy of Columbus,13201,Nexus Academy of Columbus,Franklin,Region 11,4689 Hilton Corporate Dr,"Columbus, OH, 43232-4152",(614) 866-4761,Patrick R. Hickman,143,F,F,NC,33.3,F,48.1,NR,NC,NR,NC,D,F,-2.3,NR,NC,NR,NC,D,-1.2,C,0.3,F,F,35,F,50,F,9.4,85.6,85.8,90,46.2,NA
13232,A+ Children's Academy,13232,A+ Children's Academy,Franklin,Region 11,114 Obetz Rd,"Columbus, OH, 43207-4031",(614) 491-8502,Alexandria C. Uhlir,130,F,F,NC,0,D,52.6,F,0,NR,NC,C,D,-1.7,NR,NC,NR,NC,A,2.4,D,-1.5,NR,NR,NC,NR,NC,NR,NC,94.5,95,93,11.5,NA
13240,Cincinnati State STEM Academy,13240,Cincinnati State STEM Academy,Hamilton,Region 13,3520 Central Pkwy Ste 143 Mezz,"Cincinnati, OH, 45223-2612",(513) 569-1820,Yzvetta L. Macon,130,C,A,NC,100,D,65.4,F,24.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,53.1,F,59,F,1.4,90.8,91.5,89,44.4,NA
13253,Ohio College Preparatory School,13253,Ohio College Preparatory School,Cuyahoga,Region 3,21100 Southgate Park Blvd,"Maple Heights, OH, 44137-3004",(216) 453-4550,Robert Williams,266,F,F,NC,0,F,43.3,F,0,F,14.3,F,F,-5.4,NR,NC,F,-2.9,F,-4.3,F,-3.7,NR,NR,NC,NR,NC,NR,NC,90.6,90.5,92,32.2,NA
13254,Akron Preparatory School,13254,Akron Preparatory School,Summit,Region 8,1200 E Market St Ste 3360,"Akron, OH, 44305-4018",(330) 247-6232,Zack Kantouros,263,D,F,NC,6.3,D,55.9,F,0,D,36.4,B,B,1.1,NR,NC,NR,NC,C,0.4,C,-0.7,NR,NR,NC,NR,NC,NR,NC,92.4,92,89,28.2,NA
13255,Canton College Preparatory School,13255,Canton College Preparatory School,Stark,Region 9,101 Cleveland Ave NW,"Canton, OH, 44702-1707",(330) 455-0498,Darryl M. Lindsay,217,F,F,NC,0,D,51.6,F,0,D,36.8,A,A,2.2,NR,NC,NR,NC,A,2.3,B,1.5,NR,NR,NC,NR,NC,NR,NC,92.4,92.4,92,25.8,NA
13864,Cincinnati Technology Academy,13864,Cincinnati Technology Academy,Hamilton,Region 13,3800 Glenway Ave,"Cincinnati, OH, 45205-1436",(513) 471-7323,NA,194,F,F,NC,0,F,41.9,F,6,D,39.1,B,B,1.5,NR,NC,NR,NC,C,0.1,A,2.1,NR,NR,NC,NR,NC,NR,NC,84.1,87.9,94,68.6,NA
13892,Franklinton Preparatory Academy,13892,Franklinton Preparatory Academy,Franklin,Region 11,40 Chicago Ave,"Columbus, OH, 43222-1132",(614) 636-3721,Martin S. Griffith,128,F,F,NC,0,F,46.5,NR,NC,NR,NC,C,C,0.7,NR,NC,NR,NC,C,0.6,C,0,F,F,28.6,F,10,F,0,77,88,89,73.6,NA
13967,Cincinnati Learning Schools,13967,Cincinnati Learning Schools,Hamilton,Region 13,5641 Belmont Ave,"Cincinnati, OH, 45224-3101",(513) 783-1025,NA,211,F,F,NC,5.9,F,36.8,F,0,NR,NC,D,F,-5.2,NR,NC,C,-0.8,F,-2.3,F,-3.8,NR,NR,NC,NR,NC,NR,NC,86,94.8,90,51.3,NA
123257,North Central Ohio ESC,13994,"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",Seneca,Region 1,3550 Crocker Rd,"Westlake, OH, 44145-6314",NA,NA,225,D,F,NC,40,D,66.8,F,0,NR,NC,D,F,-3.6,NR,NC,NR,NC,C,0.8,F,-2.1,NR,NR,NC,NR,NC,D,20.9,91.4,90.9,91,31,NA
123257,North Central Ohio ESC,13999,Rise & Shine Academy,Seneca,Region 1,3248 Warsaw St,"Toledo, OH, 43608-1852",(419) 244-9900,Tashlai McKinstry,57,F,NR,NC,NC,F,47.8,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,89.3,91.3,91,39.5,NA
14061,Chapelside Cleveland Academy,14061,Chapelside Cleveland Academy,Cuyahoga,Region 3,3845 E 131st St,"Cleveland, OH, 44120-4661",(216) 283-6589,Tim Spencer,313,F,F,NC,0,F,40.4,F,0.3,F,3.3,C,D,-1.4,NR,NC,B,1.3,D,-1.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.4,92.1,94,26.4,NA
14063,University Academy,14063,University Academy,Summit,Region 8,107 S Arlington St,"Akron, OH, 44306-1328",(330) 535-7728,Willie Banks,171,F,F,NC,0,F,37.6,F,3.2,D,40.9,A,A,2.7,NR,NC,NR,NC,A,4.1,A,4.7,NR,NR,NC,NR,NC,NR,NC,89.5,89,89,43.2,NA
14064,Winton Preparatory Academy,14064,Winton Preparatory Academy,Hamilton,Region 13,4750 Winton Rd,"Cincinnati, OH, 45232-1501",(513) 276-4166,Caroline A. Hill,321,F,F,NC,0,F,44.1,F,0,F,14,F,F,-6.1,NR,NC,NR,NC,F,-4,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.2,90.7,92,33.2,NA
14065,Lincoln Park Academy,14065,Lincoln Park Academy,Cuyahoga,Region 3,3185 W 41st St,"Cleveland, OH, 44109-1275",(216) 263-7008,Alissa M. Clugh,210,F,F,NC,0,F,36.6,F,0.1,F,12.5,B,C,0.3,NR,NC,B,1.6,C,0.3,B,1.4,NR,NR,NC,NR,NC,NR,NC,93.9,93.2,88,17.3,NA
14066,Main Street Preparatory Academy,14066,Main Street Preparatory Academy,Summit,Region 8,388 S Main St,"Akron, OH, 44311-1064",(234) 738-1925,Nikita M. Tidwell,165,F,F,NC,0,F,44.5,F,0,F,16.7,B,C,0.7,NR,NC,NR,NC,A,2.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.9,89.9,90,41,NA
14081,Insight School of Ohio,14081,Insight School of Ohio,Franklin,Region 11,2760 Airport Dr Ste 125,"Columbus, OH, 43219-2284",(614) 300-2766,NA,1209,F,F,NC,5,F,46.8,F,4.7,NR,NC,F,F,-13.6,NR,NC,F,-5.1,F,-6,F,-9.7,F,F,22.9,F,14.9,F,0.3,94.7,93,95,14.6,NA
123257,North Central Ohio ESC,14090,Berwyn East Academy,Seneca,Region 1,1850 Bostwick Rd,"Columbus, OH, 43227-3374",(614) 564-9548,NA,171,F,F,NC,0,F,47.2,F,0,NR,NC,F,F,-3.9,NR,NC,NR,NC,F,-2.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.9,93,92,31.4,NA
123257,North Central Ohio ESC,14091,Hope Learning Academy of Toledo,Seneca,Region 1,4234 Monroe St,"Toledo, OH, 43606-1938",NA,Justin P. Bryson,63,F,NR,NC,NC,F,42.5,F,0,NR,NC,B,B,1.3,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.6,93.3,96,35,NA
47910,Lawrence County ESC,14094,Lawrence County Academy,Lawrence,Region 15,11627 State Route 243,"Chesapeake, OH, 45619-7962",(740) 867-6641,NA,82,F,F,NC,0,F,40.2,F,0,NR,NC,D,D,-1.6,NR,NC,NR,NC,NR,NC,NR,NC,F,F,30,F,33.3,F,0,96.2,98.3,97,2.1,NA
123257,North Central Ohio ESC,14121,Imagine Leadership Academy,Seneca,Region 1,2405 Romig Rd,"Akron, OH, 44320-3826",(330) 753-1000,Audrea M. Pettaway,197,F,F,NC,0,F,48.3,F,0,NR,NC,C,D,-1.3,NR,NC,A,2.8,C,-0.5,C,-0.6,NR,NR,NC,NR,NC,NR,NC,93.5,93.3,93,21.6,NA
123257,North Central Ohio ESC,14139,Imagine Columbus Primary School,Seneca,Region 1,4656 Heaton Rd,"Columbus, OH, 43229-6612",(614) 433-7510,Patty K. Miller,214,F,F,NC,0,F,49.2,F,3.9,F,6.7,C,C,0.1,NR,NC,NR,NC,C,-0.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.2,91.2,89,34.4,NA
14147,East Preparatory Academy,14147,East Preparatory Academy,Cuyahoga,Region 3,4129 Superior Ave,"Cleveland, OH, 44103-1129",(216) 539-0595,Gretchen J. Beasley,189,F,F,NC,0,F,46.3,F,8.1,F,10.9,B,C,0.4,NR,NC,NR,NC,B,1.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.9,92.9,91,21.7,NA
14148,Provost Academy Ohio,14148,Provost Academy Ohio,Franklin,Region 11,1335 Dublin Rd Ste 50A,"Columbus, OH, 43215-7037",(614) 866-7570,NA,124,F,F,NC,0,NR,NC,F,5.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,15.6,F,10.6,F,0,54.3,65.1,65,94.6,NA
14149,Dayton SMART Elementary School,14149,Dayton SMART Elementary School,Montgomery,Region 10,601 S Keowee St,"Dayton, OH, 45410-1168",(937) 222-2812,Marvis Meeks,94,F,F,NC,0,F,47.9,NR,NC,B,75,D,F,-2.3,NR,NC,NR,NC,D,-2,D,-1.8,NR,NR,NC,NR,NC,NR,NC,91.7,92.3,91,32.8,NA
14187,East Academy,14187,East Academy,Cuyahoga,Region 3,15720 Kipling Ave,"Cleveland, OH, 44110-3105",(216) 383-1214,Nehemiah Thomas Jr,236,F,F,NC,18.8,F,47.5,F,12.6,F,0,A,A,8,NR,NC,A,2.1,A,2.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.6,88.1,91,32.6,NA
14188,Discovery Academy,14188,Discovery Academy,Lucas,Region 1,3835 Secor Rd,"Toledo, OH, 43623-4402",(419) 214-3266,Noah C. Campbell,252,F,F,NC,0,F,46.5,F,3,D,27.8,F,F,-3.4,NR,NC,NR,NC,F,-2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.3,92,92,24.8,NA
14189,West Park Academy,14189,West Park Academy,Cuyahoga,Region 3,12913 Bennington Ave,"Cleveland, OH, 44135-3761",(216) 251-5450,Michael F. Jaissle,209,F,F,NC,0,F,39,F,0.2,F,16.7,C,C,-0.5,NR,NC,NR,NC,C,0.5,C,-0.4,NR,NR,NC,NR,NC,NR,NC,89.9,88.6,90,46.1,NA
14194,Watkins Academy,14194,Watkins Academy,Montgomery,Region 10,4401 Dayton Liberty Rd,"Dayton, OH, 45417-5903",(937) 220-9100,Bobbie S. Tyree,104,F,F,NC,0,F,38.4,F,0,F,-33.3,C,C,-0.4,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,89.4,88.3,87,41.8,NA
14467,United Preparatory Academy,14467,United Preparatory Academy,Franklin,Region 11,300 Dana Ave,"Columbus, OH, 43223-1310",NA,Ben R. Pacht,148,NR,NR,NC,NC,NR,NC,NR,NC,D,33.3,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.5,93.1,NC,15.2,NA
14633,City Prep Academy,14633,City Prep Academy,Franklin,Region 11,2800 S Hamilton Rd,"Columbus, OH, 43232-4961",(614) 322-7970,NA,72,F,F,NC,0,F,28.5,NR,NC,NR,NC,D,F,-2.6,NR,NC,NR,NC,C,-0.4,C,-0.5,NR,NR,NC,NR,NC,NR,NC,88.9,NC,NC,53.3,NA
14825,Buckeye Preparatory Academy,14825,Buckeye Preparatory Academy,Franklin,Region 11,1414 Gault St,"Columbus, OH, 43205-2933",(614) 300-7083,Jul'Yanna M. Collier,180,F,F,NC,0,F,36.1,F,0,F,-20,F,F,-3.5,NR,NC,NR,NC,F,-2.9,F,-2.6,NR,NR,NC,NR,NC,NR,NC,86.9,88.5,NC,50.7,NA
47779,Jefferson County ESC,14830,Utica Shale Academy of Ohio,Jefferson,Region 12,38095 State Route 39,"Salineville, OH, 43945-9726",(740) 283-3347,NA,67,F,F,NC,11.1,F,42.9,NR,NC,NR,NC,F,F,-3.2,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,F,0,88.1,97.4,NC,44.2,NA
14858,REACH Academy,14858,REACH Academy,Lucas,Region 1,2014 Consaul St,"Toledo, OH, 43605-1412",(419) 691-4876,NA,250,F,F,NC,0,F,41.5,F,0,F,5.6,F,F,-2.9,NR,NC,F,-3.2,F,-2,NR,NC,NR,NR,NC,NR,NC,NR,NC,87.5,90.5,NC,48.3,NA
14864,Toledo SMART Elementary School,14864,Toledo SMART Elementary School,Lucas,Region 1,1850 Airport Hwy,"Toledo, OH, 43609-2069",(419) 214-3290,Jessica Molina,83,F,F,NC,0,F,25,NR,NC,F,0,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,92.3,NC,12.1,NA
14904,T2 Honors Academy,14904,T2 Honors Academy,Cuyahoga,Region 3,18450 S Miles Rd,"Warrensville Heights, OH, 44128-4236",(216) 510-5458,NA,96,F,F,NC,6.7,F,42.4,F,0,NR,NC,C,D,-1.1,NR,NC,NR,NC,C,-0.9,C,-0.7,NR,NR,NC,NR,NC,NR,NC,90.9,89.9,NC,32.3,NA
44578,Norwood City,14912,Norwood Conversion Community School,Hamilton,Region 13,2132 Williams Ave,"Norwood, OH, 45212-3806",(513) 924-2702,NA,29,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,82.5,91.6,NC,58.3,NA
43786,Cleveland Municipal City,14913,Lakeshore Intergenerational School,Cuyahoga,Region 3,18025 Marcella Rd,"Cleveland, OH, 44119-2615",(216) 586-3872,Robin A. Bartley,146,D,F,NC,0,D,66.3,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,96,93.8,NC,7.9,NA
14927,Steel Academy,14927,Steel Academy,Summit,Region 8,1570 Creighton Ave,"Akron, OH, 44310-2656",(330) 687-0834,NA,132,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NC,93.9,NC,NC,NA
14932,Cincinnati Generation Academy,14932,Cincinnati Generation Academy,Hamilton,Region 13,"455 Sherman St., Suite 120","Denver, CO, 80203",(513) 389-0968,Danielle M. Bateman,127,F,F,NC,0,F,34.9,F,0,F,-90,D,F,-3.4,NR,NC,NR,NC,C,-0.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.6,92.5,NC,36.9,NA
