District IRN,District Name,Building IRN,Building Name,County,Region,Address,"City, State, Zip",Phone,Principal,,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2015,4 Year Grad Rate 2015,Letter Grade of 5 Year Grad Rate 2014,5 Year Grad Rate 2014,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Attendance Rate 2013-2014,Chronic Absenteeism Percent 2015-2016,Watermark
15234,Zenith Academy West,15234,Zenith Academy West,Franklin,Region 11,3385 South Blvd,"Columbus, OH, 43204-1213",(614) 272-6300,Tina M. Bennett,184,F,F,NC,0,F,45.2,F,0,NR,NC,D,D,-1.7,NR,NC,NR,NC,D,-1.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,97.6,NC,NC,5,NA
15236,Clark Preparatory Academy,15236,Clark Preparatory Academy,Clark,Region 10,501 S Wittenberg Ave,"Springfield, OH, 45506-2101",(937) 504-1175,Tracy L. Carter,146,F,F,NC,0,F,40,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.7,NC,NC,35.2,NA
43786,Cleveland Municipal City,15239,Stonebrook Montessori,Cuyahoga,Region 3,975 East Blvd,"Cleveland, OH, 44108-2970",NA,Jacqueline E. Miller,92,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.5,NC,NC,28.6,NA
45203,Barnesville Exempted Village,15240,Utica Shale Academy-Belmont,Belmont,Region 12,210 W Church St,"Barnesville, OH, 43713-1069",(740) 425-3615,NA,30,F,F,NC,0,F,42.1,NR,NC,NR,NC,D,D,-1.4,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.3,NC,NC,0,NA
47787,Buckeye Local,15241,Ohio Valley Energy Technology Academy,Jefferson,Region 12,10692 State Route 150,"Rayland, OH, 43943-7847",(740) 769-7395,NA,54,F,F,NC,0,F,40.5,NR,NC,NR,NC,F,F,-3.1,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,80.1,NC,NC,72.5,NA
43786,Cleveland Municipal City,15261,Citizens Academy Southeast,Cuyahoga,Region 3,17900 Harvard Ave,"Cleveland, OH, 44128-1736",(216) 791-4195,Lachelle M. Dixon,170,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.8,NC,NC,18.1,NA
132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,Butler,Region 13,4700 Central Ave,"Middletown, OH, 45044-5354",(513) 422-8540,Megan N. Bockelman,89,F,F,NC,0,F,49.3,F,3.1,F,-11.1,C,C,-0.8,NR,NC,C,-0.7,C,-0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.9,93.1,94,27.7,NA
132761,Summit Academy Community School Alternative Learners -Xenia,132761,Summit Academy Community School Alternative Learners -Xenia,Greene,Region 10,1694 Pawnee Dr,"Xenia, OH, 45385-4126",(937) 372-5210,Cassy M. Stidham,162,F,F,NC,0,F,46.4,F,1.4,F,-20,B,B,1.5,NR,NC,B,1.5,B,1.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.5,92.5,93,28.9,NA
132779,Summit Academy Akron Middle School,132779,Summit Academy Akron Middle School,Summit,Region 8,464 S Hawkins Ave Ste 100,"Akron, OH, 44320-1228",(330) 252-1510,Crystal J. Phillips,43,F,F,NC,0,F,47.6,F,0.9,NR,NC,D,D,-1.4,NR,NC,D,-1.2,D,-1.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.1,91.5,92,28.9,NA
132944,Miami Valley Academies,132944,Miami Valley Academies,Montgomery,Region 10,5656 Springboro Pike,"Dayton, OH, 45449-2806",(937) 294-4522,NA,171,F,F,NC,0,F,47,F,1.7,D,26.7,B,A,2.7,NR,NC,NR,NC,C,0.9,B,1.9,F,NR,NC,F,70,F,0,85.7,86.7,88,50.3,NA
132951,Constellation Schools: Lorain Community Elementary,132951,Constellation Schools: Lorain Community Elementary,Lorain,Region 2,5983 W 54th St,"Parma, OH, 44129-3854",(440) 204-2130,Melisa R. Shady,215,D,F,NC,20,D,69.1,F,50,F,22.2,D,F,-2.1,NR,NC,C,0,C,0.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.3,94.3,94,13,NA
132969,Constellation Schools: Elyria Community,132969,Constellation Schools: Elyria Community,Lorain,Region 2,300 N Abbe Rd,"Elyria, OH, 44035-3715",(440) 366-5225,Eric J. Fortuna,522,D,F,NC,12.5,C,70.6,F,37.4,D,31.6,A,A,7,NR,NC,A,2.7,A,3.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.4,95.3,95,9.8,NA
132993,Constellation Schools: Westpark Community Elementary,132993,Constellation Schools: Westpark Community Elementary,Cuyahoga,Region 3,16210 Lorain Ave,"Cleveland, OH, 44111-5521",(216) 688-0271,Sheila M. Delzani,321,C,D,NC,60,B,80,F,50,C,47.8,A,A,3.7,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.1,95.1,95,15.4,NA
43786,Cleveland Municipal City,133215,"Intergenerational School, The",Cuyahoga,Region 3,11327 Shaker Blvd Ste 200 E.,"Cleveland, OH, 44104-3805",(216) 721-0120,Silvia Kruger,250,D,F,NC,6.3,D,64.3,F,0,NR,NC,C,C,-0.9,NR,NC,NR,NC,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.7,96.5,96,4,NA
133256,Constellation Schools: Parma Community,133256,Constellation Schools: Parma Community,Cuyahoga,Region 3,7667 Day Dr Fl 1ST,"Parma, OH, 44129-5603",(440) 888-5490,Linda M. Geyer,1271,D,F,NC,35.7,D,68.8,F,33.3,C,58.5,B,A,4.5,NR,NC,C,0.9,B,1.8,NR,NC,B,B,90.7,A,95.3,D,20.9,94.2,94.5,95,14.8,NA
133280,Washington Park Community School,133280,Washington Park Community School,Cuyahoga,Region 3,4000 Washington Park Blvd,"Newburgh Heights, OH, 44105-3248",(216) 271-6055,NA,209,F,F,NC,0,D,51.9,F,0,F,7.7,B,B,1.2,NR,NC,NR,NC,B,1.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,92,92.8,93,24.4,NA
133306,Summit Academy Community School for Alternative Learn-Canton,133306,Summit Academy Community School for Alternative Learn-Canton,Stark,Region 9,1620 Market Ave S,"Canton, OH, 44707-3778",(330) 458-0393,Robert E. Housel,154,F,F,NC,0,F,45.3,F,0.4,F,9.1,C,C,0,NR,NC,C,-0.3,C,-0.7,C,0.5,NR,NR,NC,NR,NC,NR,NC,91.9,92.2,93,31.2,NA
133322,Summit Academy Community School Alternative Learners-Lorain,133322,Summit Academy Community School Alternative Learners-Lorain,Lorain,Region 2,2140 E 36th St,"Lorain, OH, 44055-2756",(440) 277-4110,Albert J. Charpentier,136,F,F,NC,0,D,51.6,F,20,F,-2.2,B,A,2.4,NR,NC,A,2.4,C,0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.6,91.1,91,26,NA
133330,T.C.P. World Academy,133330,T.C.P. World Academy,Hamilton,Region 13,6000 Ridge Ave,"Cincinnati, OH, 45213-1624",(513) 531-9500,Karen Y. French,528,C,F,NC,27.3,C,76,F,37.5,D,30.7,D,F,-5.8,NR,NC,F,-3.8,C,-0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.1,95.7,95,6.4,NA
133348,Richard Allen Preparatory,133348,Richard Allen Preparatory,Montgomery,Region 10,627 Salem Ave,"Dayton, OH, 45406-5822",(937) 278-4201,Yolanda A. Clark,132,NR,NR,NC,NC,NR,NC,NR,NC,D,33.3,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.9,94.8,95,14.6,NA
133413,Electronic Classroom Of Tomorrow,133413,Electronic Classroom Of Tomorrow,Franklin,Region 11,3700 S High St Ste 95,"Columbus, OH, 43207-4083",(614) 492-8884,Cathy A. Blankenship,15407,F,F,NC,3.6,F,45,F,0,F,16.1,F,F,-24.3,NR,NC,F,-8.9,F,-10.6,F,-14.2,F,F,39.6,F,44.1,F,1,92.7,92,92,20.3,NA
133421,"Graham School, The",133421,"Graham School, The",Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3158",(614) 262-1111,Gregory C. Brown,261,D,F,NC,30.8,D,55.7,F,1.5,NR,NC,D,F,-2.5,NR,NC,D,-1.7,C,-0.1,NR,NC,F,F,59.3,F,78.9,F,5.6,91.4,91.1,90,30.7,NA
133439,Cornerstone Academy Community School,133439,Cornerstone Academy Community School,Franklin,Region 11,6015 E Walnut St,"Westerville, OH, 43081-9620",(614) 775-0615,Natalee M. Long,657,D,F,NC,31.3,C,72.9,F,38.7,NR,NC,B,A,3,NR,NC,NR,NC,C,0.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.1,95.8,96,5.4,NA
133454,Dayton Leadership Academies-Dayton View Campus,133454,Dayton Leadership Academies-Dayton View Campus,Montgomery,Region 10,1416 W Riverview Ave,"Dayton, OH, 45402-6217",(937) 567-9426,NA,223,F,F,NC,0,F,39.3,F,0,NR,NC,F,F,-7.6,NR,NC,F,-4.4,F,-6.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,97.4,97.7,94,6.7,NA
133504,Phoenix Community Learning Ctr,133504,Phoenix Community Learning Ctr,Hamilton,Region 13,3595 Washington Ave,"Cincinnati, OH, 45229-2609",(513) 351-5801,Elaine M. Wilson,388,D,F,NC,6.3,D,61.1,F,4.3,D,39.1,C,C,0.3,NR,NC,C,-0.5,C,-0.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,99.1,98.7,99,0,NA
133512,Cincinnati College Preparatory Academy,133512,Cincinnati College Preparatory Academy,Hamilton,Region 13,1425 Linn St,"Cincinnati, OH, 45214-2605",(513) 684-0777,Guyton C. Mathews III,981,F,F,NC,20,D,50.4,F,33.3,F,-91.7,D,F,-9.3,NR,NC,D,-2,F,-4,NR,NC,C,B,89.4,F,75,F,1.6,93.8,93.9,93,16.9,NA
43786,Cleveland Municipal City,133520,Citizens Academy,Cuyahoga,Region 3,10118 Hampden Ave,"Cleveland, OH, 44108-3538",(216) 791-4195,Kimberly A. Peterlin,446,D,F,NC,0,D,62.9,F,0,F,-6.1,D,F,-2.8,NR,NC,C,-0.4,C,-0.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,93.3,93,15.3,NA
133538,"Edge Academy, The",133538,"Edge Academy, The",Summit,Region 8,92 N Union St,"Akron, OH, 44304-1347",(330) 535-4581,Christina M. Burchfield,254,D,F,NC,0,D,55,F,0,NR,NC,D,F,-2.4,NR,NC,C,-0.3,F,-2.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.7,94.2,95,20.2,NA
133561,Millennium Community School,133561,Millennium Community School,Franklin,Region 11,3500 Refugee Rd,"Columbus, OH, 43232-4862",(614) 255-5585,NA,564,F,F,NC,0,F,44.7,F,1.7,F,0,B,B,1.1,NR,NC,C,0.7,C,0.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.1,92.9,93,16.6,NA
133587,Summit Academy Akron Elementary School,133587,Summit Academy Akron Elementary School,Summit,Region 8,2503 Leland Ave,"Akron, OH, 44312-2426",(330) 253-7441,Dawn R. Presley,142,D,F,NC,0,D,55.4,F,21.6,D,25,C,C,-0.1,NR,NC,C,-0.5,C,-0.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.5,92.5,93,27.5,NA
133629,Horizon Science Acad Cleveland,133629,Horizon Science Acad Cleveland,Cuyahoga,Region 3,6000 S Marginal Rd,"Cleveland, OH, 44103-1042",(216) 432-3660,Mehmet I. Gurbuz,451,F,F,NC,41.7,F,48.7,F,33.3,NR,NC,B,C,-0.9,NR,NC,C,-0.4,B,1.4,NR,NC,C,C,88.4,B,90.3,F,12.2,94.2,93.8,94,17.1,NA
133660,Horizon Science Academy Columbus,133660,Horizon Science Academy Columbus,Franklin,Region 11,1070 Morse Rd,"Columbus, OH, 43229-6290",(614) 846-7616,DAVUT PIRAZ,484,D,D,NC,50,D,54.6,F,33.3,NR,NC,B,A,3.5,NR,NC,C,0.1,A,2.2,NR,NC,B,A,95,C,88.2,F,12.8,95.2,95.2,94,12.2,NA
133678,Riverside Academy,133678,Riverside Academy,Hamilton,Region 13,3280 River Rd,"Cincinnati, OH, 45204-1214",(513) 921-7777,Arnez Booker,259,F,F,NC,0,F,44,F,0.2,F,20.9,B,A,3.6,NR,NC,C,0.1,A,3.8,A,4.7,NR,NR,NC,NR,NC,NR,NC,88.3,86.4,86,47.1,NA
133736,Richard Allen Academy,133736,Richard Allen Academy,Montgomery,Region 10,184 Salem Ave,"Dayton, OH, 45406-5804",(937) 586-9815,Michelle L. Thomas,77,F,F,NC,0,F,44.6,F,0,NR,NC,C,D,-1,NR,NC,NR,NC,C,0.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,93.4,93,13.7,NA
133819,Lincoln Preparatory Academy,133819,Lincoln Preparatory Academy,Cuyahoga,Region 3,4215 Robert Ave,"Cleveland, OH, 44109-1255",(216) 772-1336,Lisa L. Lyons,206,F,F,NC,0,F,47.4,F,0,F,2.1,F,F,-5.9,NR,NC,NR,NC,F,-3.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.3,92,92,26.8,NA
133942,Toledo School For The Arts,133942,Toledo School For The Arts,Lucas,Region 1,333 14th St,"Toledo, OH, 43604-5459",(419) 246-8732,Nicholas A. Mariano,671,C,D,Not Met,50,C,73.6,F,40,NR,NC,C,D,-1.8,NR,NC,NR,NC,C,-0.4,NR,NC,A,A,93.9,A,98.7,C,42.1,95.8,95.8,96,4.1,NA
133959,Dayton Leadership Academies-Early Learning Academy,133959,Dayton Leadership Academies-Early Learning Academy,Montgomery,Region 10,1416 W Riverview Ave,"Dayton, OH, 45402-6217",(937) 567-9426,Theodore J. Wallace,127,NR,NR,NC,NC,NR,NC,NR,NC,D,31,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,99.6,99.6,NC,0,NA
134072,Youngstown Community School,134072,Youngstown Community School,Mahoning,Region 5,50 Essex St,"Youngstown, OH, 44502-1838",(330) 746-2240,Heidi Cope,341,D,F,NC,0,D,61.2,F,0,D,30,F,F,-3.5,NR,NC,NR,NC,F,-3,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.4,95.7,95,11.3,NA
134098,Constellation Schools: Old Brooklyn Community Elementary,134098,Constellation Schools: Old Brooklyn Community Elementary,Cuyahoga,Region 3,4430 State Rd,"Cleveland, OH, 44109-4705",(216) 661-7888,Cherie Kaiser,333,D,F,NC,20,C,73.1,F,33.3,F,14.3,F,F,-5.2,NR,NC,NR,NC,F,-2.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.3,94.7,95,14.2,NA
134122,Autism Model School,134122,Autism Model School,Lucas,Region 1,3020 Tremainsville Rd,"Toledo, OH, 43613-1901",(419) 897-4400,NA,110,F,F,NC,0,D,52.8,F,0,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,10,NR,NC,F,6.8,88.4,89.7,90,35.9,NA
134148,Aurora Academy,134148,Aurora Academy,Lucas,Region 1,824 6th St,"Toledo, OH, 43605-1704",(419) 693-6841,Latanya S. Ridley,179,F,F,NC,0,F,47.4,F,0,F,0,F,F,-5.1,NR,NC,NR,NC,F,-3.2,F,-5.2,NR,NR,NC,NR,NC,NR,NC,88.7,91.7,93,47.3,NA
134197,Green Inspiration Academy,134197,Green Inspiration Academy,Cuyahoga,Region 3,4265 Northfield Rd,"Highland Hills, OH, 44128-2811",(216) 378-9573,Virginia A. Schemrich,205,F,F,NC,0,F,45.7,F,1,F,7.3,A,A,3.8,NR,NC,NR,NC,A,3.4,A,3.2,NR,NR,NC,NR,NC,NR,NC,95,95.2,96,13.5,NA
134213,Middlebury Academy,134213,Middlebury Academy,Summit,Region 8,88 Kent St,"Akron, OH, 44305-2544",(330) 752-2766,Wendall C. Garth,260,F,F,NC,0,F,38.6,F,0,F,-3.8,F,F,-8.9,NR,NC,NR,NC,F,-6.3,F,-8.5,NR,NR,NC,NR,NC,NR,NC,92.8,92.2,94,23,NA
134221,Colonial Prep Academy,134221,Colonial Prep Academy,Summit,Region 8,2199 5th St SW,"Akron, OH, 44314-2405",(330) 752-2792,Leeanna D. Simmons,197,F,F,NC,0,F,38.8,F,0,F,-26.3,F,F,-8.5,NR,NC,F,-3.2,F,-6.1,F,-8.5,NR,NR,NC,NR,NC,NR,NC,89.8,90,91,36.7,NA
134247,City Day Community School,134247,City Day Community School,Montgomery,Region 10,318 S Main St,"Dayton, OH, 45402-2716",(937) 223-8130,Paula E. Graham,135,F,F,NC,0,F,35.2,F,0,NR,NC,F,F,-3.7,NR,NC,NR,NC,F,-3.3,F,-4,NR,NR,NC,NR,NC,NR,NC,86.7,NC,86,60.5,NA
123257,North Central Ohio ESC,142943,Focus Learning Academy of Northern Columbus,Seneca,Region 1,1880 E Dublin Granville Rd,"Columbus, OH, 43229-3523",(614) 547-0927,Travis M. Budd,398,F,F,NC,0,D,53.8,F,29,NR,NC,A,A,9.8,NR,NC,NR,NC,A,8,NR,NC,NR,NR,NC,NR,NC,NR,NC,98.3,98.4,94,0.8,NA
142950,Ohio Virtual Academy,142950,Ohio Virtual Academy,Lucas,Region 1,1690 Woodlands Dr Ste 200,"Maumee, OH, 43537-4045",(877) 648-2512,NA,9178,D,F,NC,14.3,D,61,F,14.4,C,44.7,F,F,-11.8,NR,NC,F,-6.8,F,-8,C,0.2,F,F,53,F,52.9,F,9,99.1,96.6,99,2.8,NA
142968,Hope Academy Northcoast,142968,Hope Academy Northcoast,Cuyahoga,Region 3,4310 E 71st St,"Cleveland, OH, 44105-5759",(216) 429-0232,Martin R. Ngom,289,F,F,NC,0,F,42.5,F,9,F,22.9,B,A,6.5,NR,NC,C,0.3,A,4.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,88.9,90.1,91,47.7,NA
143172,International Acad Of Columbus,143172,International Acad Of Columbus,Franklin,Region 11,2439 Fuji Dr,"Columbus, OH, 43229-2847",(614) 794-0643,Mouhamed N. Tarazi,224,F,F,NC,0,D,52.9,F,0,NR,NC,F,F,-4,NR,NC,NR,NC,F,-2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.7,94.1,94,7.5,NA
143198,Great Western Academy,143198,Great Western Academy,Franklin,Region 11,310 N Wilson Rd,"Columbus, OH, 43204-6221",(614) 276-1028,Kathryn M. Kountz,712,D,F,NC,0,D,56.8,F,3.9,F,9.9,A,B,1.4,NR,NC,A,2.6,B,1.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.1,93.2,94,22.9,NA
143206,Trotwood Fitness & Prep Acad,143206,Trotwood Fitness & Prep Acad,Montgomery,Region 10,3100 Shiloh Springs Rd,"Trotwood, OH, 45426-2247",(937) 854-4100,Caitlin E. Stevens,342,F,F,NC,0,F,44.2,F,0,NR,NC,F,F,-5.7,NR,NC,F,-3.4,F,-3.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.4,93.9,95,23.2,NA
143214,Middletown Fitness & Prep Acad,143214,Middletown Fitness & Prep Acad,Butler,Region 13,816 2nd Ave,"Middletown, OH, 45044-4201",(513) 424-6110,Eric J. Oliver,237,D,F,NC,0,D,58,F,1.3,F,-22.2,C,C,-0.2,NR,NC,D,-1.4,B,1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.8,92.4,94,19.4,NA
143297,The Autism Academy Of Learning,143297,The Autism Academy Of Learning,Lucas,Region 1,110 Arco Dr,"Toledo, OH, 43607-2960",(419) 865-7487,James Jones,54,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.2,92.2,92,32.3,NA
143313,West Preparatory Academy,143313,West Preparatory Academy,Cuyahoga,Region 3,13111 Crossburn Ave,"Cleveland, OH, 44135-5017",(216) 772-1340,Jennifer E. Heyman,251,F,F,NC,0,F,44.2,F,0,F,15.4,D,F,-4,NR,NC,C,0.3,F,-2.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.2,92.5,92,20.2,NA
143396,Alternative Education Academy,143396,Alternative Education Academy,Lucas,Region 1,1830 Adams St,"Toledo, OH, 43624-1428",(330) 253-8680,Dominic P. Donatelli,1628,F,F,NC,6.9,D,50.5,F,0,F,-28.3,D,F,-3.7,NR,NC,F,-2.1,C,0.2,F,-2,F,F,18.8,F,25.7,F,2.4,81.3,81.5,84,53.8,NA
143479,Constellation Schools: Puritas Community Elementary,143479,Constellation Schools: Puritas Community Elementary,Cuyahoga,Region 3,15204 Puritas Ave,"Cleveland, OH, 44135-2716",(216) 688-0680,Margaret M. Colwell,204,D,F,NC,20,D,66.3,F,0,D,27.3,D,F,-4.2,NR,NC,NR,NC,D,-1.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,94.8,95,13.1,NA
143487,Constellation Schools: Stockyard Community Elementary,143487,Constellation Schools: Stockyard Community Elementary,Cuyahoga,Region 3,3200 W 65th St,"Cleveland, OH, 44102-5510",(216) 651-5143,Amber J. Steele,273,D,F,NC,0,D,56.1,F,0,F,-14.3,C,C,0.9,NR,NC,C,0.1,C,0.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.8,93.2,93,27.1,NA
143529,North Dayton School Of Science & Discovery,143529,North Dayton School Of Science & Discovery,Montgomery,Region 10,3901 Turner Rd,"Dayton, OH, 45415-3654",(937) 278-6671,Ronald B. Albino,604,F,F,NC,0,F,47.5,F,0.7,F,6.9,B,B,1.4,NR,NC,C,-0.7,C,0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.7,93.1,93,20.3,NA
143537,Virtual Community School Of Ohio,143537,Virtual Community School Of Ohio,Franklin,Region 11,340 Waggoner Rd,"Reynoldsburg, OH, 43068-9707",(614) 501-9473,NA,844,F,F,NC,0,D,50.2,F,3.4,F,-136,D,F,-6.7,NR,NC,F,-3.4,D,-1.2,F,-3.7,F,F,14.9,F,9.6,F,1,73.1,52.8,72,49.5,NA
143552,Eagle Academy,143552,Eagle Academy,Lucas,Region 1,1430 Idaho St,"Toledo, OH, 43605-2743",(419) 697-2760,nicolette r. whitson,213,F,F,NC,0,F,38.8,F,0,NR,NC,C,D,-1.1,NR,NC,C,-0.6,C,-0.4,C,0,F,F,26.9,NR,NC,F,5.9,86.8,83.5,91,50.3,NA
143560,Richard Allen Academy II,143560,Richard Allen Academy II,Montgomery,Region 10,184 Salem Ave,"Dayton, OH, 45406-5804",(937) 586-9756,Michelle L. Thomas,311,F,F,NC,9.1,D,54.9,F,0,F,-23.3,D,F,-10,NR,NC,D,-1.5,F,-4.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.2,95.4,95,8,NA
143578,Richard Allen Academy III,143578,Richard Allen Academy III,Butler,Region 13,1206 Shuler Ave,"Hamilton, OH, 45011-4566",(513) 868-2900,ERIN A. RAMSEY,164,D,F,NC,0,D,56.5,F,8.9,F,-7.9,D,F,-2.5,NR,NC,NR,NC,C,-1,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.1,95,95,10.3,NA
143602,Hamilton Cnty Math & Science,143602,Hamilton Cnty Math & Science,Hamilton,Region 13,2675 Civic Center Dr,"Cincinnati, OH, 45231-1311",(513) 728-8620,Dwan Moore,629,D,F,NC,6.3,D,64.1,F,0,C,54.5,D,F,-3.1,NR,NC,NR,NC,C,0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.7,97.4,95,5.4,NA
143610,Arts & College Preparatory Academy,143610,Arts & College Preparatory Academy,Franklin,Region 11,4401 Hilton Corporate Dr,"Columbus, OH, 43232-4161",(614) 986-9974,Anthony J. Gatto,388,C,C,NC,75,C,72.5,F,50,NR,NC,B,A,2,NR,NC,D,-1,NR,NC,NR,NC,A,A,97.2,A,100,D,29.6,93.3,92.8,93,20.6,NA
143644,Sciotoville,143644,Sciotoville,Scioto,Region 15,224 Marshall St,"Portsmouth, OH, 45662-5549",(740) 776-6777,Michael D. Yeagle,287,F,F,NC,13,D,54.7,F,33.3,NR,NC,B,C,0.3,NR,NC,C,0.8,B,1.5,B,1.1,C,C,88.6,D,81.8,D,18.5,93.9,93.2,93,17.1,NA
48041,Southwest Licking Local,149336,Southwest Licking Digital Acad,Licking,Region 11,927-A,"Pataskala, OH, 43062",(740) 927-3941,NA,33,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,38.5,F,69.2,F,7.7,67.5,73.5,84,53.8,NA
48421,Pleasant Local,151035,Pleasant Community Digital,Marion,Region 7,1107 Owens Rd W,"Marion, OH, 43302-8421",(740) 389-4476,NA,105,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.3,94.1,94,19.4,NA
44263,Lorain City,151142,Lorain K-12 Digital Academy,Lorain,Region 2,1800 West 40th Street,"Lorain, OH, 44053",(440) 830-4300,Karen W. Mahan,119,F,F,NC,42.9,F,49.6,F,6.1,NR,NC,C,C,0.9,NR,NC,NR,NC,NR,NC,NR,NC,F,F,28.3,F,31.3,F,0,91.1,93.6,85,27.6,NA
48439,Ridgedale Local,151167,Ridgedale Community School,Marion,Region 7,3103 Hillman Ford Rd,"Morral, OH, 43337-9302",(740) 382-6065,NA,32,F,F,NC,0,F,44.2,NR,NC,NR,NC,C,C,0.8,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.5,91.5,89,20.7,NA
151175,West Central Learning Academy II,151175,West Central Learning Academy II,Allen,Region 6,522 W North St,"Lima, OH, 45801-4215",(419) 227-9252,NA,67,F,F,NC,0,F,47.9,NR,NC,NR,NC,F,F,-3.8,NR,NC,NR,NC,NR,NC,NR,NC,F,F,46.2,F,46.2,F,12.7,89.8,94,95,31,NA
47993,Lakewood Local,151233,Lakewood Digital Academy,Licking,Region 11,PO Box 70,"Hebron, OH, 43025-0070",(740) 928-1915,NA,35,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,NR,NC,F,0,F,0,78.8,96.8,91,48,NA